"ATARI 2600 HARDWARE REFERENCE GUIDE",,,,
,,,,
"Colour Palette Colour Table",,,,
,,,,
"COLU_DEC","COLU_HEX","NTSC","PAL","SECAM"
234,"$EA","#B4C078","#B4B4B4","#7FFFFF"
236,"$EC","#CCD488","#D0D0D0","#FFFF3F"
238,"$EE","#E0EC9C","#ECECEC","#FFFFFF"
240,"$F0","#442800","#000000","#000000"
242,"$F2","#644818","#282828","#2121FF"
244,"$F4","#846830","#505050","#F03C79"
246,"$F6","#A08444","#747474","#FF50FF"
248,"$F8","#B89C58","#949494","#7FFF00"
250,"$FA","#D0B46C","#B4B4B4","#7FFFFF"
252,"$FC","#E8CC7C","#D0D0D0","#FFFF3F"
254,"$FE","#FCE08C","#ECECEC","#FFFFFF"
